sectionId,articleId,officeId,officeName,title,summary,link
101,0004957247,009,매일경제,"삼성전자, 외국인 귀환에 4%↑…증권가 ""주가 바닥권 진입""",삼성전자 주가가 6거래일 만에 반등에 성공했다. 외국인 매수에 힘입어 4%대 상승 마감했다. 증권가에서는 주가가 바닥권에 진입한 것으로 보고 악재보다 호재에 민감하게 반응할 것으로 전망했다. 29일 한국거래소에 따르,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004957247
101,0000669608,031,아이뉴스24,"""끝났다 코로나""…서울 공실률 '뚝뚝', 새 점포 오픈 러시","신종 코로나바이러스 감염증(코로나19) 사태가 본격적인 진정세에 접어들고, 사회적 거리두기 제한이 크게 완화하면서 오피스·상권시장에 기대감이 그대로 반영되고 있다. 오피스 공실률은 점점 떨어지고, 서울 대표 상권에는",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000669608
101,0000808710,417,머니S,"정무위원장 만난 삼성화재 등 보험사 CEO들, 어떤 얘기 꺼냈나?","삼성화재와 현대해상, DB손해보험 등 손해보험사 최고경영자(CEO)들이 국회 정무위원장에게 ""실손의료보험 청구 간소화 해달라""고 요청했다. 지난 2021년에 이어 2년째 비슷한 이야기를 되풀이했다. 29일 보험업계에",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=417&aid=0000808710
101,0000669604,031,아이뉴스24,"""삼성전자 벽 너무 높네""…'왕좌' 뺏긴 인텔, 1분기 실적 기대치 하회","글로벌 반도체 강자 인텔이 올해 1분기에도 삼성전자의 벽을 넘어서지 못하고 매출 2위에 머물렀다. 그동안 지속된 높은 인플레이션과 공급망 이슈, 중국 코로나19 봉쇄, 우크라이나 사태, PC 수요 감소까지 더해진 탓",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000669604
101,0001028810,215,한국경제TV,같은 듯 다른 韓美 대표주 [심층분석],"<앵커> 한미 증시 상황 분석 조금 더 이어가 보겠습니다. 증권부 홍헌표 기자, 글로벌콘텐츠부 이지효 기자 나와 있습니다. 우리와 미국 양시장 모두 지금 관심이 가장 뜨거운 게 반도체와 기술주들입니다. 삼성전자가 오",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=215&aid=0001028810
101,0000669603,031,아이뉴스24,"""생존권 위협""…삼성전자 협력사, 이재용 특별사면 청원서 제출",삼성전자 협력사들이 이재용 삼성전자 부회장의 사면을 촉구하는 청원서를 제출했다. 이 부회장의 경영 공백으로 인해 협력사들이 생존권을 위협받고 있다는 주장이다. 삼성전자 협력회사 협의회(협성회)는 29일 이 부회장의 ,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000669603
101,0001153384,082,부산일보,"[과기정통 뉴스] 크래프톤 재직 KAIST 전산학부 동문 17명, 모교에 1억 원 기부 外","◆크래프톤 재직 KAIST 전산학부 동문 17명, 모교에 1억 원 기부 한국과학기술원(KAIST) 전산학부 출신이 창업한 게임업체 크래프톤에서 재직 중인 전산학부 동문 17명이 후배들을 위해 1억 원을 기부했다. 2",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=082&aid=0001153384
101,0000284153,374,SBS Biz,내일부터 軍 외박·외출 완전히 풀린다…신병수료식도 재개,[군 장병들 (※ 위 사진은 기사 내용과 무관합니다 / 연합뉴스 자료사진)] 코로나19로 2년 넘게 막혔던 병사 외박이 완전히 풀립니다. 오늘(29일) 복수의 군 관계자에 따르면 국방부는 내일부터 외박과 주말 외출을,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=374&aid=0000284153
101,0013147671,001,연합뉴스,'11억 로또' 과천위버필드 4가구 내달 9일 무순위 청약(종합),자격은 과천 거주 무주택 세대주…전세 끼고 잔금 납부 가능 (서울=연합뉴스) 홍국기 기자 = 다음 달 경기도 과천시에서 당첨될 경우 11억원 이상의 시세 차익이 예상되는 청약 물량이 나온다. 29일 한국부동산원 청약,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=001&aid=0013147671
101,0011155018,003,뉴시스,[핫스탁]삼성전자·SK하이닉스·화장품주(종합),"기사내용 요약 삼성전자, 실적 발표 후 6거래일 만에 반등 SK하이닉스도 실적 발표 뒤 저가 매수세 마스크 착용 의무 해제에 화장품주 급등 [서울=뉴시스]최현호 기자 = ◇삼성전자=삼성전자가 분기 기준 역대 최대 실",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0011155018
101,0011155017,003,뉴시스,구두개입 먹혔나…원달러 환율 1250원대로(종합),기사내용 요약 1270원 고점 인식 커지며 급락 [서울=뉴시스] 류난영 기자 = 위험선호 심리 회복과 더이상 추가 상승이 어려울 것이란 판단이 이어지면서 원·달러 환율이 하룻 새 16원 넘게 급락하는 등 1250원대,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0011155017
101,0011155015,003,뉴시스,금감원장 긴급회의…우리銀 회계법인 감리 작업 돌입(종합),기사내용 요약 정은보 원장 주재 부원장·부원장보 긴급회의 소집해 우리은행 수시검사 이어 '회계법인 감리' 실시하기로 [서울=뉴시스] 류병화 기자 = 금융감독원이 우리은행에서 발생한 대규모 횡령 사태와 관련해 내부 긴,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0011155015
101,0004692428,015,한국경제,"오랜만에 시식하러 마트 갔다가…""세상이 바뀌었다"" 깜짝 [현장+]",사회적 거리두기 전면 해제 이후 대형마트 시식코너는 몰리는 사람들로 부쩍 활기를 띠고 있다. 하지만 상당수 소비자는 치솟은 가격표를 확인하고는 깜짝 놀라워했다. 최근 주요 식품업체가 원재료·제반 비용 인상 등의 이유,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=015&aid=0004692428
101,0001733214,052,YTN,'식량 안보 방파제' 밀 비축 기지 첫 공개...밀 자급률 0.8%,[앵커] 러시아의 우크라이나 침공 사태가 장기화하면서 밀 가격의 고공행진이 어디가 끝인지 모르게 계속되고 있습니다. 최근 수입 밀의 가격이 2008년 글로벌 금융위기 이후 처음으로 t당 400달러 선을 넘었는데요. ,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001733214
101,0006062435,421,뉴스1,"""시멘트稅 대신 상생기금"" 업계현장에 '尹의 남자들' 뜬 까닭은",(서울=뉴스1) 구교운 기자 = 권성동 국민의힘 원내대표 등 '윤석열의 남자들'이 '검수완박' 등 바쁘게 돌아가는 국회 일정에도 시멘트업계의 지역사회공헌 상생기금 관리위원회 발대식에 대거 출동했다. 더불어민주당 등에,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=421&aid=0006062435
101,0004739838,008,머니투데이,삼성重 1Q 영업적자 949억원..흑전 목표 보인다,삼성중공업은 1분기 영업적자 949억원을 기록하며 적자폭을 줄였다고 29일 공시했다. 이 기간 매출액은 1조8465억원으로 20% 줄었다. 지난해 말 대형 해양 프로젝트인 코랄(Coral) FLNG(액화천연가스설비가,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004739838
101,0004739837,008,머니투데이,"뉴스케일파워, 美 증시 상장…일찍 알아봤던 두산에너빌리티, 차익 기대",두산에너빌리티가 투자한 뉴스케일파워가 다음달 3일부터 나스닥에 상장된다. 뉴스케일파워는 28일(현지시간) 기업인수목적회사인 스프링밸리(Spring Valley Acquisition Corporation)가 개최한 주,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004739837
101,0013147666,001,연합뉴스,"화천대유, 성남도개공에 ""사업이행보증금 72억원 돌려달라"" 소송","부당이득 환원 목적 '귀속' 통보에 ""사법부 판단 전인데 부당"" 맞서 (성남=연합뉴스) 이우성 기자 = 성남도시개발공사(성남도개공)가 대장동 개발사업 부당이득 환수 방안의 하나로 시행사가 납부한 사업이행보증금 72억",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=001&aid=0013147666
101,0000284152,374,SBS Biz,"‘뿔난’ 아워홈 노조 “구본성, 1000억 배당 요구 어이없어”","구본성 전 아워홈 부회장이 아워홈에 새 이사진 선임하기 위한 임시주주총회 소집을 요청한 가운데, 노동조합도 비판 입장을 냈습니다. 한국노총 전국식품산업연맹노동조합 소속 아워홈 노조는 전날(28일) 성명을 내고 ""코로",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=374&aid=0000284152
101,0005082206,277,아시아경제,"SK바이오사이언스, 국산 코로나 백신 '스카이코비원' 허가 신청",SK바이오사이언스가 개발한 국내 최초의 코로나19 백신 '스카이코비원멀티주'가 국내 승인 절차에 돌입했다. SK바이오사이언스는 자체 개발한 코로나19 백신 후보물질 ‘GBP510’의 임상 3상이 성공적으로 마무리됨에,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=277&aid=0005082206
